ID:48.04509429.340827,Latitude:29.340827,TotalMRCount:3370,Longitude:48.045094,
ID:48.04325729.33312,Latitude:29.33312,TotalMRCount:866,Longitude:48.043257,
ID:48.04078329.347496,Latitude:29.347496,TotalMRCount:3,Longitude:48.040783,
ID:48.04333629.330416,Latitude:29.330416,TotalMRCount:177,Longitude:48.043336,
ID:48.03284129.337398,Latitude:29.337398,TotalMRCount:12,Longitude:48.032841,
ID:48.04763929.341785,Latitude:29.341785,TotalMRCount:211,Longitude:48.047639,
ID:48.04228129.331295,Latitude:29.331295,TotalMRCount:2536,Longitude:48.042281,
ID:48.03202629.347752,Latitude:29.347752,TotalMRCount:99,Longitude:48.032026,
ID:48.04555629.342641,Latitude:29.342641,TotalMRCount:3428,Longitude:48.045556,
ID:48.03644129.337478,Latitude:29.337478,TotalMRCount:836,Longitude:48.036441,
ID:48.03636329.340182,Latitude:29.340182,TotalMRCount:12655,Longitude:48.036363,
ID:48.03417529.344643,Latitude:29.344643,TotalMRCount:508,Longitude:48.034175,
ID:48.03642829.337929,Latitude:29.337929,TotalMRCount:1885,Longitude:48.036428,
ID:48.03977529.328984,Latitude:29.328984,TotalMRCount:139,Longitude:48.039775,
ID:48.03906529.335733,Latitude:29.335733,TotalMRCount:3323,Longitude:48.039065,
ID:48.04756129.34449,Latitude:29.34449,TotalMRCount:492,Longitude:48.047561,
ID:48.04254829.339869,Latitude:29.339869,TotalMRCount:4178,Longitude:48.042548,
ID:48.03919529.331226,Latitude:29.331226,TotalMRCount:127,Longitude:48.039195,
ID:48.04653329.344467,Latitude:29.344467,TotalMRCount:209,Longitude:48.046533,
ID:48.03654529.333873,Latitude:29.333873,TotalMRCount:313,Longitude:48.036545,
ID:48.04184529.328579,Latitude:29.328579,TotalMRCount:65,Longitude:48.041845,
ID:48.04459229.340365,Latitude:29.340365,TotalMRCount:4050,Longitude:48.044592,
ID:48.03918229.331677,Latitude:29.331677,TotalMRCount:91,Longitude:48.039182,
ID:48.04655929.343565,Latitude:29.343565,TotalMRCount:1343,Longitude:48.046559,
ID:48.03965729.33304,Latitude:29.33304,TotalMRCount:1598,Longitude:48.039657,
